Date,Open
2022-06-15,6850.0
2022-06-16,6800.0
2022-06-17,6700.0
2022-06-18,6700.0
2022-06-19,6700.0
2022-06-20,6800.0
2022-06-21,6900.0
2022-06-22,6925.0
2022-06-23,7000.0
2022-06-24,7150.0
2022-06-25,7150.0
2022-06-26,7150.0
2022-06-27,7075.0
2022-06-28,7175.0
2022-06-29,7225.0
2022-06-30,7075.0
2022-07-01,7050.0
2022-07-02,7050.0
2022-07-03,7050.0
2022-07-04,7025.0
2022-07-05,6850.0
2022-07-06,6925.0
2022-07-07,7000.0
2022-07-08,6950.0
2022-07-09,6950.0
2022-07-10,6950.0
2022-07-11,7000.0
2022-07-12,7050.0
2022-07-13,7000.0
2022-07-14,6825.0
2022-07-15,6925.0
2022-07-16,6925.0
2022-07-17,6925.0
2022-07-18,6900.0
2022-07-19,7050.0
2022-07-20,7150.0
2022-07-21,7125.0
2022-07-22,7175.0
2022-07-23,7175.0
2022-07-24,7175.0
2022-07-25,7050.0
2022-07-26,7025.0
2022-07-27,7000.0
2022-07-28,6950.0
2022-07-29,6900.0
2022-07-30,6900.0
2022-07-31,6900.0
2022-08-01,6825.0
2022-08-02,6700.0
2022-08-03,6675.0
2022-08-04,6550.0
2022-08-05,6650.0
2022-08-06,6650.0
2022-08-07,6650.0
2022-08-08,6600.0
2022-08-09,6625.0
2022-08-10,6550.0
2022-08-11,6650.0
2022-08-12,6650.0
2022-08-13,6650.0
2022-08-14,6650.0
2022-08-15,6625.0
2022-08-16,6625.0
2022-08-17,6625.0
2022-08-18,6550.0
2022-08-19,6600.0
2022-08-20,6600.0
2022-08-21,6600.0
2022-08-22,6550.0
2022-08-23,6650.0
2022-08-24,6650.0
2022-08-25,6650.0
2022-08-26,6550.0
2022-08-27,6550.0
2022-08-28,6550.0
2022-08-29,6475.0
2022-08-30,6625.0
2022-08-31,6300.0
2022-09-01,6225.0
2022-09-02,6325.0
2022-09-03,6325.0
2022-09-04,6325.0
2022-09-05,6400.0
2022-09-06,6375.0
2022-09-07,6325.0
2022-09-08,6350.0
2022-09-09,6300.0
2022-09-10,6300.0
2022-09-11,6300.0
2022-09-12,6200.0
2022-09-13,6225.0
2022-09-14,6200.0
2022-09-15,6225.0
2022-09-16,6150.0
2022-09-17,6150.0
2022-09-18,6150.0
2022-09-19,6275.0
2022-09-20,6250.0
2022-09-21,6200.0
2022-09-22,6225.0
2022-09-23,6250.0
2022-09-24,6250.0
2022-09-25,6250.0
2022-09-26,6225.0
2022-09-27,6200.0
2022-09-28,6150.0
2022-09-29,6100.0
2022-09-30,6050.0
2022-10-01,6050.0
2022-10-02,6050.0
2022-10-03,6025.0
2022-10-04,6050.0
2022-10-05,6100.0
2022-10-06,6100.0
2022-10-07,6075.0
2022-10-08,6075.0
2022-10-09,6075.0
2022-10-10,6075.0
2022-10-11,6100.0
2022-10-12,6125.0
2022-10-13,6100.0
2022-10-14,6075.0
2022-10-15,6075.0
2022-10-16,6075.0
2022-10-17,6050.0
2022-10-18,6150.0
2022-10-19,6200.0
2022-10-20,6225.0
2022-10-21,6350.0
2022-10-22,6350.0
2022-10-23,6350.0
2022-10-24,6300.0
2022-10-25,6300.0
2022-10-26,6275.0
2022-10-27,6325.0
2022-10-28,6350.0
2022-10-29,6350.0
2022-10-30,6350.0
2022-10-31,6375.0
2022-11-01,6450.0
2022-11-02,6425.0
2022-11-03,6400.0
2022-11-04,6350.0
2022-11-05,6350.0
2022-11-06,6350.0
2022-11-07,6450.0
2022-11-08,6550.0
2022-11-09,6475.0
2022-11-10,6550.0
2022-11-11,6500.0
2022-11-12,6500.0
2022-11-13,6500.0
2022-11-14,6425.0
2022-11-15,6475.0
2022-11-16,6500.0
2022-11-17,6500.0
2022-11-18,6500.0
2022-11-19,6500.0
2022-11-20,6500.0
2022-11-21,6500.0
2022-11-22,6525.0
2022-11-23,6475.0
2022-11-24,6450.0
2022-11-25,6400.0
2022-11-26,6400.0
2022-11-27,6400.0
2022-11-28,6325.0
2022-11-29,6275.0
2022-11-30,6325.0
2022-12-01,6550.0
2022-12-02,6675.0
2022-12-03,6675.0
2022-12-04,6675.0
2022-12-05,6775.0
2022-12-06,6775.0
2022-12-07,6750.0
2022-12-08,6850.0
2022-12-09,6875.0
2022-12-10,6875.0
2022-12-11,6875.0
2022-12-12,6925.0
2022-12-13,6975.0
2022-12-14,6925.0
2022-12-15,6950.0
2022-12-16,6950.0
2022-12-17,6950.0
2022-12-18,6950.0
2022-12-19,6950.0
2022-12-20,6975.0
2022-12-21,6975.0
2022-12-22,6900.0
2022-12-23,6800.0
2022-12-24,6800.0
2022-12-25,6800.0
2022-12-26,6775.0
2022-12-27,6875.0
2022-12-28,6800.0
2022-12-29,6700.0
2022-12-30,6800.0
2022-12-31,6800.0
2023-01-01,6800.0
2023-01-02,6725.0
2023-01-03,6750.0
2023-01-04,6750.0
2023-01-05,6875.0
2023-01-06,6850.0
2023-01-07,6850.0
2023-01-08,6850.0
2023-01-09,6950.0
2023-01-10,6900.0
2023-01-11,6675.0
2023-01-12,6675.0
2023-01-13,6625.0
2023-01-14,6625.0
2023-01-15,6625.0
2023-01-16,6675.0
2023-01-17,6725.0
2023-01-18,6825.0
2023-01-19,6900.0
2023-01-20,6875.0
2023-01-21,6875.0
2023-01-22,6875.0
2023-01-23,6875.0
2023-01-24,6875.0
2023-01-25,6925.0
2023-01-26,6800.0
2023-01-27,6700.0
2023-01-28,6700.0
2023-01-29,6700.0
2023-01-30,6700.0
2023-01-31,6800.0
2023-02-01,6700.0
2023-02-02,6650.0
2023-02-03,6625.0
2023-02-04,6625.0
2023-02-05,6625.0
2023-02-06,6700.0
2023-02-07,6675.0
2023-02-08,6700.0
2023-02-09,6800.0
2023-02-10,6775.0
2023-02-11,6775.0
2023-02-12,6775.0
2023-02-13,6850.0
2023-02-14,6725.0
2023-02-15,6700.0
2023-02-16,6675.0
2023-02-17,6600.0
2023-02-18,6600.0
2023-02-19,6600.0
2023-02-20,6550.0
2023-02-21,6600.0
2023-02-22,6525.0
2023-02-23,6600.0
2023-02-24,6575.0
2023-02-25,6575.0
2023-02-26,6575.0
2023-02-27,6575.0
2023-02-28,6600.0
2023-03-01,6475.0
2023-03-02,6300.0
2023-03-03,6250.0
2023-03-04,6250.0
2023-03-05,6250.0
2023-03-06,6300.0
2023-03-07,6250.0
2023-03-08,6250.0
2023-03-09,6175.0
2023-03-10,6150.0
2023-03-11,6150.0
2023-03-12,6150.0
2023-03-13,6125.0
2023-03-14,6150.0
2023-03-15,6175.0
2023-03-16,6100.0
2023-03-17,6150.0
2023-03-18,6150.0
2023-03-19,6150.0
2023-03-20,6125.0
2023-03-21,6225.0
2023-03-22,6225.0
2023-03-23,6225.0
2023-03-24,6200.0
2023-03-25,6200.0
2023-03-26,6200.0
2023-03-27,6425.0
2023-03-28,6375.0
2023-03-29,6400.0
2023-03-30,6400.0
2023-03-31,6400.0
2023-04-01,6400.0
2023-04-02,6400.0
2023-04-03,6200.0
2023-04-04,6175.0
2023-04-05,6375.0
2023-04-06,6300.0
2023-04-07,6300.0
